dist,region,reg_prop,2020_pop,pop_pct,2025_dif,2025_pop,2030_dif,2030_pop,2035_dif,2035_pop,2040_dif,2040_pop,2045_dif,2045_pop,2050_dif,2050_pop,2055_dif,2055_pop,2060_dif,2060_pop,2065_dif,2065_pop,2070_dif,2070_pop,2075_dif,2075_pop,2080_dif,2080_pop,2085_pop,2085_pop,2090_dif,2090_pop,2095_dif,2095_pop,2100_dif,2100_pop,current_urban_pix,total_pix,gdd,2050_urbpix
Sagnarigu,WESTERN,Western,186796,0.6,25844,212640,47218,234014,66164,252960,88373,275169,107144,293940,128381,315177,144884,331680,163863,350659,177704,364500,194518,381314,205844,392640,220224,407020,228404,415200,239534,426330,244304,431100,252689,439485,48506,222954,,
Savelugu,BONO EAST,Bono East,116975,0.38,17697,134672,29569,146544,43233,160208,55340,172315,69187,186162,80394,197369,93089,210064,102614,219589,113875,230850,121810,238785,131697,248672,137908,254883,145985,262960,150001,266976,156055,273030,158239,275214,14976,1627913,,
Sawla Tuna Kalba,BONO EAST,Bono East,126569,0.41,18735,145304,31994,158563,46287,172856,59879,186448,74290,200859,86988,213557,100079,226648,111030,237599,122506,249075,131801,258370,141735,268304,149219,275788,157151,283720,162303,288872,168016,294585,171217,297786,15243,4693092,,
Sefwi Akontombra,UPPER EAST,Upper East,109868,0.35,14172,124040,27772,137640,37692,147560,51978,161846,61597,171465,75510,185378,83612,193480,96379,206247,102757,212625,114410,224278,119172,229040,129529,239397,132332,242200,140887,250755,141607,251475,148624,258492,7719,1243010,,
Sefwi Wiawso,NORTHERN,Northern,185826,0.6,26814,212640,46973,232799,67134,252960,87914,273740,108114,293940,127714,313540,145854,331680,163012,348838,178674,364500,193508,379334,206814,392640,219081,404907,229374,415200,238290,424116,245274,431100,251377,437203,23519,1122830,,
Sekyere Afram Plains,NORTHERN,Northern,35416,0.11,3568,38984,8952,44368,10960,46376,16755,52171,18473,53889,24341,59757,25392,60808,31068,66484,31409,66825,36880,72296,36568,71984,41754,77170,40704,76120,45415,80831,43619,79035,47909,83325,3610,3921412,21.3,
Sekyere Central,NORTHERN,Northern,88307,0.29,14469,102776,22322,110629,33957,122264,41778,130085,53764,142071,60691,148998,72005,160312,77465,165772,87868,176175,91957,180264,101469,189776,104110,192417,112373,200680,113239,201546,120058,208365,119458,207765,10092,1813570,8,
Sekyere East,SAVANNAH,Savannah,77030,0.25,11570,88600,19472,96502,28370,105400,36443,113473,45445,122475,52941,129971,61170,138200,67573,144603,74845,151875,80214,157244,86570,163600,90815,167845,95970,173000,98778,175808,102595,179625,104203,181233,13321,265823,8.7,
Sekyere Kumawu,WESTERN NORTH,Western North,81029,0.26,11115,92144,20482,101511,28587,109616,38335,119364,46345,127374,55689,136718,62699,143728,71081,152110,76921,157950,84379,165408,89115,170144,95530,176559,98891,179920,103906,184935,105781,186810,109612,190641,9329,641033,8.2,
Sekyere South,WESTERN NORTH,Western North,116477,0.38,18195,134672,29443,145920,43731,160208,55105,171582,69685,186162,80052,196529,93587,210064,102177,218654,114373,230850,121292,237769,132195,248672,137321,253798,146483,262960,149362,265839,156553,273030,157565,274042,15892,463234,4.6,
Sene East,WESTERN,Western,76506,0.25,12094,88600,19339,95845,28894,105400,36195,112701,45969,122475,52581,129087,61694,138200,67113,143619,75369,151875,79669,156175,87094,163600,90197,166703,96494,173000,98106,174612,103119,179625,103494,180000,10047,4889572,,
Sene West,ASHANTI,Ashanti,72383,0.23,9129,81512,18297,90680,24585,96968,34244,106627,40294,112677,49747,122130,54761,127144,63496,135879,67342,139725,75375,147758,78129,150512,85336,157719,86777,159160,92819,165202,92872,165255,97916,170299,10947,3629528,10,
Shai Osudoku,ASHANTI,Ashanti,65461,0.21,8963,74424,16547,82008,23075,88536,30969,96430,37418,102879,44990,110451,50627,116088,57424,122885,62114,127575,68167,133628,71963,137424,77176,142637,79859,145320,83943,149404,85424,150885,88553,154014,15534,1078397,,
Shama,ASHANTI,Ashanti,109087,0.35,14953,124040,27575,136662,38473,147560,51609,160696,62378,171465,74973,184060,84393,193480,95694,204781,103538,212625,113596,222683,119953,229040,128609,237696,133113,242200,139886,248973,142388,251475,147568,256655,15559,215245,3.9,
Sissala East,ASHANTI,Ashanti,69923,0.23,11589,81512,17675,87598,27045,96968,33080,103003,42754,112677,48056,117979,57221,127144,61338,131261,69802,139725,72813,142736,80589,150512,82436,152359,89237,159160,89664,159587,95332,165255,94589,164512,14540,5658170,4,
Sissala West,ASHANTI,Ashanti,61322,0.2,9558,70880,15501,76823,22998,84320,29011,90333,36658,97980,42145,103467,49238,110560,53793,115115,60178,121500,63857,125179,69558,130880,72296,133618,77078,138400,78635,139957,82378,143700,82954,144276,11568,2276707,9.6,
South Dayi,BONO EAST,Bono East,58863,0.19,8473,67336,14879,73742,21241,80104,27848,86711,34218,93081,40455,99318,46169,105032,51636,110499,56562,115425,61296,120159,65473,124336,69397,128260,72617,131480,75482,134345,77652,136515,79627,138490,9427,399009,2.9,
South Tongu,BONO EAST,Bono East,110777,0.36,16807,127584,28002,138779,40999,151776,52408,163185,65587,176364,76134,186911,88231,199008,97177,207954,107923,218700,115356,226133,124807,235584,130601,241378,138343,249120,142053,252830,147883,258660,149854,260631,25269,717147,7.9,
Suaman,GREATER ACCRA,Greater Accra,27370,0.09,4526,31896,6919,34289,10574,37944,12949,40319,16721,44091,18811,46181,22382,49752,24010,51380,27305,54675,28501,55871,31526,58896,32268,59638,34910,62280,35097,62467,37295,64665,37025,64395,3726,443912,30.6,
Suame,WESTERN,Western,199706,0.65,30654,230360,50481,250187,74334,274040,94480,294186,118729,318435,137253,336959,159614,359320,175188,374894,195169,394875,207961,407667,225654,425360,235444,435150,250094,449800,256089,455795,267319,467025,270153,469859,18664,18822,8.4,
Suhum,UPPER WEST,Upper West,113885,0.37,17243,131128,28788,142673,42107,155992,53879,167764,67378,181263,78271,192156,90651,204536,99903,213788,110890,224775,118593,232478,128243,242128,134265,248150,142155,256040,146038,259923,151960,265845,154058,267943,16033,399522,6.7,
Sunyani,UPPER WEST,Upper West,156186,0.5,21014,177200,39480,195666,54614,210800,73891,230077,88764,244950,107343,263529,120214,276400,137011,293197,147564,303750,162642,318828,171014,327200,184136,340322,189814,346000,200282,356468,203064,359250,211281,367467,51942,562564,2.1,
Sunyani West,VOLTA,Volta,108031,0.35,16009,124040,27308,135339,39529,147560,51109,159140,63434,171465,74247,182278,85449,193480,94768,202799,104594,212625,112497,220528,121009,229040,127364,235395,134169,242200,138531,246562,143444,251475,146139,254170,29650,1176210,3.4,
Tain,VOLTA,Volta,111650,0.36,15934,127584,28223,139873,40126,151776,52821,164471,64714,176364,76734,188384,87358,199008,97943,209593,107050,218700,116265,227915,123934,235584,131630,243280,137470,249120,143172,254822,147010,258660,151035,262685,17820,2031571,5.7,
Talensi,WESTERN NORTH,Western North,101132,0.33,15820,116952,25564,126696,37996,139128,47845,148977,60535,161667,69506,170638,81292,182424,88716,189848,99343,200475,105313,206445,114820,215952,119230,220362,127228,228360,129685,230817,135973,237105,136807,237939,6929,932645,14.3,
Tano North,ASHANTI,Ashanti,101305,0.33,15647,116952,25608,126913,37823,139128,47927,149232,60362,161667,69625,170930,81119,182424,88868,190173,99170,200475,105493,206798,114647,215952,119434,220739,127055,228360,129906,231211,135800,237105,137041,238346,17636,929985,,
Tano South,EASTERN,Eastern,98994,0.32,14414,113408,25024,124018,35918,134912,46834,145828,57774,156768,68036,167030,77902,176896,86840,185834,95406,194400,103086,202080,110414,209408,116710,215704,122446,221440,126943,225937,130926,229920,133915,232909,12710,543203,14.6,
Tarkwa-Nsuaem,BONO,Bono,120344,0.39,17872,138216,30420,150764,44080,164424,56934,177278,70717,191061,82710,203054,95248,215592,105569,225913,116581,236925,125319,245663,134872,255216,141880,262224,149536,269880,154321,274665,159871,280215,162796,283140,28239,1005448,2.6,
Tatale Sanguli,BONO,Bono,75738,0.24,9318,85056,19145,94883,25446,101184,35831,111569,41838,117576,52053,127791,56934,132672,66440,142178,70062,145800,78869,154607,81318,157056,89292,165030,90342,166080,97121,172859,96702,172440,102455,178193,10536,1214715,,
Techiman,BONO,Bono,185450,0.6,27190,212640,46878,232328,67510,252960,87736,273186,108490,293940,127456,312906,146230,331680,162682,348132,179050,364500,193116,378566,207190,392640,218637,404087,229750,415200,237808,423258,245650,431100,250868,436318,39719,720972,2.2,
Techiman North,UPPER EAST,Upper East,74113,0.24,10943,85056,18734,92847,27071,101184,35063,109176,43463,117576,50936,125049,58559,132672,65014,139127,71687,145800,77177,151290,82943,157056,87376,161489,91967,166080,95037,169150,98327,172440,100257,174370,13798,432573,6.7,
Tema West,NORTHERN,Northern,156134,0.5,21066,177200,39467,195601,54666,210800,73866,230000,88816,244950,107307,263441,120266,276400,136965,293099,147616,303750,162588,318722,171066,327200,184075,340209,189866,346000,200215,356349,203116,359250,211211,367345,47049,66683,1.4,
Tempane,AHAFO,Ahafo,89155,0.29,13621,102776,22536,111691,33109,122264,42179,131334,52916,142071,61274,150429,71157,160312,78209,167364,87020,176175,92840,181995,100621,189776,105110,194265,111525,200680,114326,203481,119210,208365,120605,209760,5781,471977,,
Tolon,AHAFO,Ahafo,92072,0.3,14248,106320,23274,115346,34408,126480,43559,135631,54898,146970,63279,155351,73768,165840,80768,172840,90178,182250,95878,187950,104248,196320,108549,200621,115528,207600,118067,210139,123478,215550,124551,216623,15902,1504993,4.5,
Twifo Ati Morkwa,WESTERN,Western,73119,0.24,11937,85056,18483,91602,28065,101184,34592,107711,44457,117576,50253,123372,59553,132672,64142,137261,72681,145800,76142,149261,83937,157056,86204,159323,92961,166080,93763,166882,99321,172440,98912,172031,11945,1061684,7.6,
Twifo Heman Lower Denkyira,NORTHERN,Northern,65316,0.21,9108,74424,16510,81826,23220,88536,30901,96217,37563,102879,44890,110206,50772,116088,57297,122613,62259,127575,68016,133332,72108,137424,77005,142321,80004,145320,83757,149073,85569,150885,88357,153673,8926,639631,12.3,
Upper Denkyira East,BONO EAST,Bono East,86233,0.28,12999,99232,21798,108031,31815,118048,40797,127030,50939,137172,59266,145499,68551,154784,75646,161879,83867,170100,89798,176031,96999,183232,101665,187898,107527,193760,110579,196812,114947,201180,116652,202885,15456,557734,8.6,
Upper Denkyira West,BONO EAST,Bono East,71174,0.23,10338,81512,17991,89165,25794,96968,33672,104846,41503,112677,48916,120090,55970,127144,62436,133610,68551,139725,74116,145290,79338,150512,83911,155085,87986,159160,91269,162443,94081,165255,96281,167455,17693,643333,5,
Upper Manya Krobo,GREATER ACCRA,Greater Accra,90877,0.29,11899,102776,22972,113849,31387,122264,42994,133871,51194,142071,62458,153335,69435,160312,79720,170597,85298,176175,94634,185511,98899,189776,107140,198017,109803,200680,116534,207411,117488,208365,122934,213811,6086,956437,16.5,
Upper West Akim,GREATER WEST METAPOLIS,Greater West Metapolis,109722,0.35,14318,124040,27735,137457,37838,147560,51909,161631,61743,171465,75409,185131,83758,193480,96251,205973,102903,212625,114258,223980,119318,229040,129357,239079,132478,242200,140700,250422,141753,251475,148427,258149,9339,380870,11.9,
Wa,NORTHERN,Northern,132646,0.43,19746,152392,33530,166176,48642,181288,62754,195400,78011,210657,91165,223811,105058,237704,116361,249007,128579,261225,138129,270775,148746,281392,156384,289030,164914,297560,170096,302742,176309,308955,179438,312084,38494,643657,3.2,
Wa East,UPPER EAST,Upper East,89194,0.29,13582,102776,22546,111740,33070,122264,42197,131391,52877,142071,61301,150495,71118,160312,78244,167438,86981,176175,92881,182075,100582,189776,105156,194350,111486,200680,114376,203570,119171,208365,120658,209852,10257,4772828,10.5,
Wa West,CENTRAL,Central,100644,0.33,16308,116952,25441,126085,38484,139128,47614,148258,61023,161667,69170,169814,81780,182424,88288,188932,99831,200475,104804,205448,115308,215952,118655,219299,127716,228360,129059,229703,136461,237105,136147,236791,12782,1655992,18.9,
Wassa Amenfi East,CENTRAL,Central,111036,0.36,16548,127584,28067,139103,40740,151776,52531,163567,65328,176364,76312,187348,87972,199008,97404,208440,107664,218700,115626,226662,124548,235584,130906,241942,138084,249120,142385,253421,147624,258660,150204,261240,22520,1730456,10.7,
Wassa Amenfi West,CENTRAL,Central,122573,0.4,19187,141760,30984,153557,46067,168640,57989,180562,73387,195960,84242,206815,98547,221120,107525,230098,120427,243000,127640,250213,139187,261760,144508,267081,154227,276800,157179,279752,164827,287400,165811,288384,17761,1608095,6.4,
Wassa East,CENTRAL,Central,107849,0.35,16191,124040,27262,135111,39711,147560,51023,158872,63616,171465,74122,181971,85631,193480,94608,202457,104776,212625,112307,220156,121191,229040,127149,234998,134351,242200,138298,246147,143626,251475,145893,253742,10527,1835730,13,
Weija Gbawe,EASTERN,Eastern,241629,0.78,34803,276432,61079,302708,87219,328848,114314,355943,140493,382122,166066,407695,189555,431184,211964,453593,232221,473850,251617,493246,268803,510432,284870,526499,298131,539760,309848,551477,318801,560430,326865,568494,38553,66383,1.4,
Wenchi,EASTERN,Eastern,113712,0.37,17416,131128,28744,142456,42280,155992,53797,167509,67551,181263,78152,191864,90824,204536,99751,213463,111063,224775,118413,232125,128416,242128,134061,247773,142328,256040,145816,259528,152133,265845,153824,267536,21368,1271647,7.2,
West Akim,UPPER WEST,Upper West,136492,0.44,19444,155936,34502,170994,49012,185504,64574,201066,79064,215556,93808,230300,106740,243232,119735,256227,130808,267300,142134,278626,151444,287936,160918,297410,167988,304480,175028,311520,179648,316140,184640,321132,13447,528476,11,
West Gonja,UPPER WEST,Upper West,52160,0.17,8088,60248,13185,65345,19512,71672,24677,76837,31123,83283,35848,88008,41816,93976,45756,97916,51115,103275,54316,106476,59088,111248,61494,113654,65480,117640,66886,119046,69985,122145,70560,122720,9367,5239308,11.8,
West Mamprusi,UPPER WEST,Upper West,153361,0.5,23839,177200,38766,192127,57439,210800,72555,225916,91589,244950,105401,258762,123039,276400,134533,287894,150389,303750,159700,313061,173839,327200,180806,334167,192639,346000,196659,350020,205889,359250,207460,360821,21351,2903540,3.1,
Yendi,WESTERN,Western,148567,0.48,21545,170112,37554,186121,53801,202368,70287,218854,86585,235152,102107,250674,116777,265344,130327,278894,143033,291600,154708,303275,165545,314112,175154,323721,183593,332160,190512,339079,196313,344880,200975,349542,16100,1610511,5,
Yilo Krobo,WESTERN,Western,110715,0.36,16869,127584,27986,138701,41061,151776,52379,163094,65649,176364,76092,186807,88293,199008,97122,207837,107985,218700,115292,226007,124869,235584,130528,241243,138405,249120,141973,252688,147945,258660,149770,260485,18205,538158,0,
Yunyoo Nasuan,WESTERN,Western,66862,0.22,11106,77968,16901,83763,25890,92752,31632,98494,40916,107778,45953,112815,54754,121616,58653,125515,66788,133650,69626,136488,77106,143968,78827,145689,85378,152240,85739,152601,91208,158070,90448,157310,1437,799394,,
Zabzugu,GREATER ACCRA,Greater Accra,80507,0.26,11637,92144,20350,100857,29109,109616,38088,118595,46867,127374,55331,135838,63221,143728,70623,151130,77443,157950,83835,164342,89637,170144,94914,175421,99413,179920,103237,183744,106303,186810,108906,189413,9364,1225345,0,
