dist,region,reg_prop,2020_pop,pop_pct,2025_dif,2025_pop,2030_dif,2030_pop,2035_dif,2035_pop,2040_dif,2040_pop,2045_dif,2045_pop,2050_dif,2050_pop,2055_dif,2055_pop,2060_dif,2060_pop,2065_dif,2065_pop,2070_dif,2070_pop,2075_dif,2075_pop,2080_dif,2080_pop,2085_pop,2085_pop,2090_dif,2090_pop,2095_dif,2095_pop,2100_dif,2100_pop,current_urban_pix,total_pix,gdd,2050_urbpix
Amansie West,ASHANTI,Ashanti,91905,0.3,14415,106320,23232,115137,34575,126480,43480,135385,55065,146970,63164,155069,73935,165840,80622,172527,90345,182250,95704,187609,104415,196320,108352,200257,115695,207600,117853,209758,123645,215550,124325,216230,18352,539064,5,
Anloga,ASHANTI,Ashanti,104262,0.34,16234,120496,26355,130617,39082,143344,49326,153588,62304,166566,71657,175919,83690,187952,91462,195724,102288,206550,108572,212834,118234,222496,122920,227182,131018,235280,133698,237960,140028,244290,141041,245303,22686,439519,4.6,
Aowin,WESTERN,Western,157159,0.51,23585,180744,39726,196885,57857,215016,74351,231510,92690,249849,108012,265171,124769,281928,137864,295023,152666,309825,163655,320814,176585,333744,185283,342442,195761,352920,201530,358689,209276,366435,212598,369757,16303,2896692,9.6,
Asante Akim Central,VOLTA,Volta,88597,0.29,14179,102776,22395,110992,33667,122264,41915,130512,53474,142071,60891,149488,71715,160312,77720,166317,87578,176175,92259,180856,101179,189776,104452,193049,112083,200680,113611,202208,119768,208365,119850,208447,15032,333786,5.9,
Asante Akim North,WESTERN NORTH,Western North,85753,0.28,13479,99232,21676,107429,32295,118048,40569,126322,51419,137172,58936,144689,69031,154784,75225,160978,84347,170100,89298,175051,97479,183232,101099,186852,108007,193760,109964,195717,115427,201180,116003,201756,12351,1251879,6.9,
Asante Akim South,ASHANTI,Ashanti,145349,0.47,21219,166568,36741,182090,52803,198152,68764,214113,84904,230253,99895,245244,114467,259816,127504,272853,140176,285525,151357,296706,162219,307568,171360,316709,179891,325240,186385,331734,192346,337695,196622,341971,20829,1282354,,
Asene Manso Akroso,ASHANTI,Ashanti,96888,0.31,12976,109864,24491,121379,33808,130696,45837,142725,54981,151869,66589,163477,74480,171368,84993,181881,91437,188325,100893,197781,105976,202864,114227,211115,117632,214520,124242,221130,125847,222735,131066,227954,8788,465860,,
Ashaiman,ASHANTI,Ashanti,240841,0.78,35591,276432,60879,301720,88007,328848,113941,354782,141281,382122,165524,406365,190343,431184,211273,452114,233009,473850,250797,491638,269591,510432,283941,524782,298919,539760,308838,549679,319589,560430,325799,566640,17868,20645,,
Asikuma Odoben Brakwa,EASTERN,Eastern,153387,0.5,23813,177200,38773,192160,57413,210800,72567,225954,91563,244950,105419,258806,123013,276400,134556,287943,150363,303750,159728,313115,173813,327200,180836,334223,192613,346000,196693,350080,205863,359250,207495,360882,13259,859055,,
Asokore Mampong,GREATER ACCRA,Greater Accra,377697,1.22,54671,432368,95474,473171,136655,514352,178687,556384,219981,597678,259582,637279,296719,674416,331327,709024,363453,741150,393310,771007,420671,798368,445288,822985,466543,844240,484332,862029,498873,876570,510931,888628,20424,26572,8.5,
Asokwa,CENTRAL,Central,173665,0.56,24799,198464,43899,217564,62431,236096,82160,255825,100679,274344,119356,293021,135903,309568,152344,326009,166535,340200,180844,354509,192799,366464,204743,378408,213855,387520,222696,396361,228695,402360,234926,408591,26444,31939,,
